n_cells,seed,strategy,metric,dist
20,11,srnj_min_D,transfer_distance,
20,11,srnj_max_lca,rf_distance,0.13043478260869565
20,11,srnj_max_lca,quartet_distance,0.046822742474916385
20,11,srnj_max_lca,triplet_distance,0.165
20,11,srnj_max_lca,transfer_distance,
20,11,gt_min,rf_distance,0.13043478260869565
20,11,gt_min,quartet_distance,0.03411371237458194
20,11,gt_min,triplet_distance,0.12115384615384615
20,11,gt_min,transfer_distance,
20,11,gt_max_lca,rf_distance,0.13043478260869565
20,11,gt_max_lca,quartet_distance,0.03919732441471572
20,11,gt_max_lca,triplet_distance,0.12846153846153846
20,11,gt_max_lca,transfer_distance,
20,11,hamming,rf_distance,0.13043478260869565
20,11,hamming,quartet_distance,0.043010033444816055
20,11,hamming,triplet_distance,0.13576923076923078
20,11,hamming,transfer_distance,
20,11,hamming_max_lca,rf_distance,0.13043478260869565
20,11,hamming_max_lca,quartet_distance,0.043010033444816055
20,11,hamming_max_lca,triplet_distance,0.13576923076923078
20,11,hamming_max_lca,transfer_distance,
20,11,nll,rf_distance,0.13043478260869565
20,11,nll,quartet_distance,0.04555183946488294
20,11,nll,triplet_distance,0.14307692307692307
20,11,nll,transfer_distance,
20,11,nll_max_lca,rf_distance,0.13043478260869565
20,11,nll_max_lca,quartet_distance,0.03919732441471572
20,11,nll_max_lca,triplet_distance,0.12846153846153846
20,11,nll_max_lca,transfer_distance,
20,12,dlca_nj,rf_distance,0.13043478260869565
20,12,dlca_nj,quartet_distance,0.037926421404682276
20,12,dlca_nj,triplet_distance,0.12846153846153846
20,12,dlca_nj,transfer_distance,
20,12,srnj_min_D,rf_distance,0.13043478260869565
20,12,srnj_min_D,quartet_distance,0.046822742474916385
20,12,srnj_min_D,triplet_distance,0.165
20,12,srnj_min_D,transfer_distance,
20,12,srnj_max_lca,rf_distance,0.13043478260869565
20,12,srnj_max_lca,quartet_distance,0.043010033444816055
20,12,srnj_max_lca,triplet_distance,0.13576923076923078
20,12,srnj_max_lca,transfer_distance,
20,12,gt_min,rf_distance,0.13043478260869565
20,12,gt_min,quartet_distance,0.03919732441471572
20,12,gt_min,triplet_distance,0.12846153846153846
20,12,gt_min,transfer_distance,
20,12,gt_max_lca,rf_distance,0.13043478260869565
20,12,gt_max_lca,quartet_distance,0.03919732441471572
20,12,gt_max_lca,triplet_distance,0.13576923076923078
20,12,gt_max_lca,transfer_distance,
20,12,hamming,rf_distance,0.13043478260869565
20,12,hamming,quartet_distance,0.046822742474916385
20,12,hamming,triplet_distance,0.165
20,12,hamming,transfer_distance,
20,12,hamming_max_lca,rf_distance,0.30434782608695654
20,12,hamming_max_lca,quartet_distance,0.09819397993311037
20,12,hamming_max_lca,triplet_distance,0.18115384615384617
20,12,hamming_max_lca,transfer_distance,
20,12,nll,rf_distance,0.13043478260869565
20,12,nll,quartet_distance,0.043010033444816055
20,12,nll,triplet_distance,0.165
20,12,nll,transfer_distance,
20,12,nll_max_lca,rf_distance,0.13043478260869565
20,12,nll_max_lca,quartet_distance,0.04555183946488294
20,12,nll_max_lca,triplet_distance,0.14307692307692307
20,12,nll_max_lca,transfer_distance,
20,13,dlca_nj,rf_distance,0.13043478260869565
20,13,dlca_nj,quartet_distance,0.037926421404682276
20,13,dlca_nj,triplet_distance,0.12846153846153846
20,13,dlca_nj,transfer_distance,
20,13,srnj_min_D,rf_distance,0.13043478260869565
20,13,srnj_min_D,quartet_distance,0.03411371237458194
20,13,srnj_min_D,triplet_distance,0.12115384615384615
20,13,srnj_min_D,transfer_distance,
20,13,srnj_max_lca,rf_distance,0.13043478260869565
20,13,srnj_max_lca,quartet_distance,0.043010033444816055
20,13,srnj_max_lca,triplet_distance,0.13576923076923078
20,13,srnj_max_lca,transfer_distance,
20,13,gt_min,rf_distance,0.13043478260869565
20,13,gt_min,quartet_distance,0.03411371237458194
20,13,gt_min,triplet_distance,0.12115384615384615
20,13,gt_min,transfer_distance,
20,13,gt_max_lca,rf_distance,0.08695652173913043
20,13,gt_max_lca,quartet_distance,0.027759197324414717
20,13,gt_max_lca,triplet_distance,0.11384615384615385
20,13,gt_max_lca,transfer_distance,
20,13,hamming,rf_distance,0.13043478260869565
20,13,hamming,quartet_distance,0.03919732441471572
20,13,hamming,triplet_distance,0.165
