seed,n_cells,n_bins,n_clones,lamda,n_chrom,dist_method,tree_method,quartet_distance,rf_distance,transfer_distance,triplet_distance,rootsplit_distance
4,50,1000,6,2,10,sconce2,fastme,0.0898,0.3125,0.6250,0.1449,0.0000
4,50,1000,6,2,10,med2,fastme,0.0907,0.3125,0.6042,0.1452,0.0000
4,50,1000,6,2,10,sconce2,srnj1,0.1186,0.3542,0.8125,0.1822,0.0000
4,50,1000,6,2,10,med2,srnj1,0.2114,0.6042,1.2500,0.2429,0.0000
4,50,1000,6,2,10,sconce2,srnj,0.1535,0.5625,1.0625,0.1427,0.0500
4,50,1000,6,2,10,med2,srnj,0.0901,0.3125,0.6042,0.1450,0.0000
4,50,1000,6,2,10,sconce2,srnjmaxlca,0.2622,0.6042,1.4167,0.3455,0.3000
4,50,1000,6,2,10,med2,srnjmaxlca,0.1773,0.5208,0.8958,0.3503,0.0500
5,20,1000,6,2,10,sconce2,nj,0.0114,0.1111,0.1111,0.0030,0.0000
5,20,1000,6,2,10,med2,nj,0.0114,0.1111,0.1111,0.0030,0.0000
5,20,1000,6,2,10,sconce2,snj,0.0511,0.2222,0.2778,0.0158,0.0000
5,20,1000,6,2,10,med2,snj,0.0411,0.2778,0.3333,0.0120,0.0000
5,20,1000,6,2,10,sconce2,rnj,0.0114,0.1111,0.1111,0.0030,0.0000
5,20,1000,6,2,10,med2,rnj,0.0244,0.1667,0.1667,0.0068,0.0000
5,20,1000,6,2,10,sconce2,anj,0.0114,0.1111,0.1111,0.0030,0.0000
5,20,1000,6,2,10,med2,anj,0.0244,0.1667,0.1667,0.0068,0.0000
5,20,1000,6,2,10,sconce2,fastme,0.0114,0.1111,0.1111,0.0030,0.0000
5,20,1000,6,2,10,med2,fastme,0.0114,0.1111,0.1111,0.0030,0.0000
5,20,1000,6,2,10,sconce2,srnj1,0.0194,0.1667,0.1667,0.0053,0.0000
5,20,1000,6,2,10,med2,srnj1,0.0114,0.1111,0.1111,0.0030,0.0000
