n_cells,seed,method,est_time,num_calls
200,8,srnj1,258.88562592,2588
200,8,srnj,1001.20919146,10011
200,8,srnj_maxlca,932.50826962,9324
200,8,snj,1756.43088067,17561
200,9,nj,1990.06096146,19900
200,9,dlca_nj,1990.00821371,19900
200,9,srnj1,257.08318088,2570
200,9,srnj,977.90464229,9778
200,9,srnj_maxlca,980.80625821,9807
200,9,snj,1781.63238742,17813
200,10,nj,1990.06080592,19900
200,10,dlca_nj,1990.00827600,19900
200,10,srnj1,253.28383417,2532
200,10,srnj,1199.60577721,11995
200,10,srnj_maxlca,1190.40603712,11903
200,10,snj,1791.93862421,17916
200,11,nj,1990.06068667,19900
200,11,dlca_nj,1990.00818429,19900
200,11,srnj1,253.70693017,2536
200,11,srnj,997.22646575,9971
200,11,srnj_maxlca,1029.66638383,10295
200,11,snj,1781.40726800,17810
200,12,nj,1990.06155221,19900
200,12,dlca_nj,1990.00824779,19900
200,12,srnj1,259.48436296,2594
200,12,srnj,1003.30355967,10032
200,12,srnj_maxlca,991.40450325,9913
200,12,snj,1794.93508050,17946
200,13,nj,1990.06054300,19900
200,13,dlca_nj,1990.00837708,19900
200,13,srnj1,258.28484837,2582
200,13,srnj,952.90360396,9528
200,13,srnj_maxlca,957.10352250,9570
200,13,snj,1771.71781300,17714
200,14,nj,1990.06198917,19900
200,14,dlca_nj,1990.00844683,19900
200,14,srnj1,255.98259888,2559
200,14,srnj,977.80805142,9776
200,14,srnj_maxlca,919.30458812,9192
200,14,snj,1759.41608029,17591
200,15,nj,1990.06053379,19900
200,15,dlca_nj,1990.00833446,19900
200,15,srnj1,257.79552971,2577
200,15,srnj,1164.01311458,11639
200,15,srnj_maxlca,1088.21437317,10881
200,15,snj,1769.42350596,17691
200,16,nj,1990.06115683,19900
200,16,dlca_nj,1990.00808900,19900
200,16,srnj1,257.68309267,2576
200,16,srnj,1069.00555229,10689
200,16,srnj_maxlca,991.80324550,9917
200,16,snj,1758.33978921,17580
200,17,nj,1990.06143175,19900
200,17,dlca_nj,1990.00844962,19900
200,17,srnj1,257.38437108,2573
200,17,srnj,1056.50086292,10564
200,17,srnj_maxlca,1094.60275038,10945
200,17,snj,1789.82744671,17894
200,18,nj,1990.06092400,19900
200,18,dlca_nj,1990.00840521,19900
200,18,srnj1,252.18436104,2521
200,18,srnj,968.40687004,9683
200,18,srnj_maxlca,966.90323004,9668
200,18,snj,1781.32293004,17810
200,19,nj,1990.07528717,19900
200,19,dlca_nj,1990.01138371,19900
200,19,srnj1,255.91081142,2558
200,19,srnj,1043.20473175,10431
200,19,srnj_maxlca,1053.79249054,10535
200,19,snj,1785.22684871,17849
500,0,nj,12475.37013875,124750
500,0,dlca_nj,12475.03981567,124750
500,0,srnj1,823.50973871,8231
500,0,srnj,5343.25719950,53427
500,0,srnj_maxlca,5163.48707467,51628
500,0,snj,9926.45627654,99249
500,1,nj,12475.35770450,124750
500,1,dlca_nj,12475.04355392,124750
500,1,srnj1,849.77433692,8493
500,1,srnj,4901.66209875,49009
500,1,srnj_maxlca,4811.35969767,48108
500,1,snj,9972.78691396,99712
500,2,nj,12475.35598904,124750
500,2,dlca_nj,12475.03755867,124750
500,2,srnj1,817.08912454,8165
500,2,srnj,5165.89367442,51654
500,2,srnj_maxlca,5104.28584858,51037
500,2,snj,10003.63497800,100020
500,3,nj,12475.35034775,124750
500,3,dlca_nj,12475.03771921,124750
500,3,srnj1,835.09126283,8347
500,3,srnj,4510.65989817,45100
500,3,srnj_maxlca,4749.98885637,47495
500,3,snj,9990.59495654,99890
500,4,nj,12475.34720642,124750
500,4,dlca_nj,12475.03765554,124750
500,4,srnj1,824.39578554,8240
500,4,srnj,4606.41569021,46059
500,4,srnj_maxlca,4535.99616808,45355
500,4,snj,9874.85251483,98734
500,5,nj,12475.35333471,124750
500,5,dlca_nj,12475.03902946,124750
500,5,srnj1,808.97801046,8085
500,5,srnj,5801.58499746,58008
500,5,srnj_maxlca,6195.36798467,61947
500,5,snj,10006.94549558,100053
500,6,nj,12475.35379475,124750
500,6,dlca_nj,12475.04084967,124750
500,6,srnj1,810.10550554,8094
500,6,srnj,6240.38827871,62398
500,6,srnj_maxlca,4458.47384942,44579
500,6,snj,9928.41736654,99270
500,7,nj,12475.34603913,124750
500,7,dlca_nj,12475.03764137,124750
500,7,srnj1,823.68201258,8233
500,7,srnj,4745.45429517,47448
500,7,srnj_maxlca,5060.09103525,50596
500,7,snj,10010.60958733,100090
500,8,nj,12475.34272783,124750
500,8,dlca_nj,12475.03969129,124750
500,8,srnj1,824.60511921,8241
500,8,srnj,4325.59878396,43251
500,8,srnj_maxlca,5216.30011137,52157
500,8,snj,10049.30165038,100478
500,9,nj,12475.34670371,124750
500,9,dlca_nj,12475.03777771,124750
500,9,srnj1,822.26113613,8219
500,9,srnj,4510.86578504,45104
500,9,srnj_maxlca,4554.55850412,45541
500,9,snj,9962.15851650,99606
500,10,nj,12475.34744700,124750
500,10,dlca_nj,12475.03729679,124750
500,10,srnj1,822.18810767,8218
500,10,srnj,5651.49921979,56510
500,10,srnj_maxlca,5591.80464183,55912
500,10,snj,9960.77113717,99593
500,11,nj,12475.34638479,124750
500,11,dlca_nj,12475.03693263,124750
500,11,srnj1,812.66364179,8123
500,11,srnj,5006.04255663,50054
500,11,srnj_maxlca,4617.95672317,46175
500,11,snj,9865.64181196,98641
500,12,nj,12475.34747933,124750
500,12,dlca_nj,12475.20978075,124750
500,12,srnj1,818.83978537,8184
500,12,srnj,4891.02074246,48905
500,12,srnj_maxlca,4706.59722517,47060
500,12,snj,9969.15643350,99675
500,13,nj,12475.34500192,124750
500,13,dlca_nj,12475.03791163,124750
500,13,srnj1,829.15704962,8287
500,13,srnj,4936.07515350,49354
500,13,srnj_maxlca,5194.59164704,51941
500,13,snj,10012.65784775,100111
500,14,nj,12475.44282133,124750
500,14,dlca_nj,12475.04032317,124750
500,14,srnj1,804.66712938,8043
